model,train_per_class,total_train,seed,split,train_seconds,accuracy,macro_f1
tfidf,5,20,13,validation,0.010298658000465366,0.43137254901960786,0.41614329118758353
tfidf,5,20,13,test,0.010298658000465366,0.42455242966751916,0.40078233773398797
distilbert,5,20,13,validation,2.383112905999951,0.3865546218487395,0.3334537902929999
distilbert,5,20,13,test,2.383112905999951,0.40153452685422,0.3411914657838487
tfidf,5,20,42,validation,0.0053599900002154754,0.4005602240896359,0.39369336983576525
tfidf,5,20,42,test,0.0053599900002154754,0.3631713554987212,0.3560905148511125
distilbert,5,20,42,validation,2.1512565330012876,0.42296918767507,0.3260247358981536
distilbert,5,20,42,test,2.1512565330012876,0.4143222506393862,0.2876224012462343
tfidf,5,20,73,validation,0.004976398000508198,0.37254901960784315,0.36894680692097315
tfidf,5,20,73,test,0.004976398000508198,0.36061381074168797,0.3646240333740334
distilbert,5,20,73,validation,2.0640585069995723,0.4117647058823529,0.32078091842797724
distilbert,5,20,73,test,2.0640585069995723,0.3734015345268542,0.3010193940426499
tfidf,10,40,13,validation,0.00816633399881539,0.4257703081232493,0.4217736072348418
tfidf,10,40,13,test,0.00816633399881539,0.4398976982097187,0.4374143457650334
distilbert,10,40,13,validation,3.919513200000438,0.43977591036414565,0.38799268198322223
distilbert,10,40,13,test,3.919513200000438,0.3989769820971867,0.358248493418701
tfidf,10,40,42,validation,0.007914444999187253,0.4061624649859944,0.4017559753897693
tfidf,10,40,42,test,0.007914444999187253,0.3836317135549872,0.38051933575381525
distilbert,10,40,42,validation,3.7299418700004026,0.6134453781512605,0.5703954360447613
distilbert,10,40,42,test,3.7299418700004026,0.5856777493606138,0.5530470330469844
tfidf,10,40,73,validation,0.0065491469995322404,0.47058823529411764,0.46810432748005165
tfidf,10,40,73,test,0.0065491469995322404,0.4092071611253197,0.41218362917008905
distilbert,10,40,73,validation,3.7446603370008233,0.38095238095238093,0.3205829142705902
distilbert,10,40,73,test,3.7446603370008233,0.3989769820971867,0.34035560400090886
tfidf,15,60,13,validation,0.008802098000160186,0.4257703081232493,0.4103310186645645
tfidf,15,60,13,test,0.008802098000160186,0.42455242966751916,0.4149073824222098
distilbert,15,60,13,validation,5.826014759000827,0.5490196078431373,0.5353561542309273
distilbert,15,60,13,test,5.826014759000827,0.4936061381074169,0.4822965652061663
tfidf,15,60,42,validation,0.010456044999955338,0.4649859943977591,0.4576461040083636
tfidf,15,60,42,test,0.010456044999955338,0.47058823529411764,0.4614937378232651
distilbert,15,60,42,validation,5.7623839559983026,0.6918767507002801,0.6595118117176941
distilbert,15,60,42,test,5.7623839559983026,0.6751918158567775,0.6389339732371969
tfidf,15,60,73,validation,0.009152366999842343,0.47058823529411764,0.4672182134590053
tfidf,15,60,73,test,0.009152366999842343,0.45524296675191817,0.4580294366667306
distilbert,15,60,73,validation,5.826230018999922,0.42857142857142855,0.3855413690355629
distilbert,15,60,73,test,5.826230018999922,0.46547314578005117,0.4131005325744141
tfidf,20,80,13,validation,0.010730620999311213,0.4649859943977591,0.45361088700133056
tfidf,20,80,13,test,0.010730620999311213,0.4629156010230179,0.4575364828145858
distilbert,20,80,13,validation,7.369895570000153,0.6386554621848739,0.6111615893826923
distilbert,20,80,13,test,7.369895570000153,0.6317135549872123,0.621460018248932
tfidf,20,80,42,validation,0.011012586001015734,0.47058823529411764,0.46320550989402137
tfidf,20,80,42,test,0.011012586001015734,0.49872122762148335,0.4952102670940617
distilbert,20,80,42,validation,7.40433146200121,0.7198879551820728,0.6820874294497558
distilbert,20,80,42,test,7.40433146200121,0.7033248081841432,0.6764697233578647
tfidf,20,80,73,validation,0.012476824998884695,0.4957983193277311,0.4939321472947829
tfidf,20,80,73,test,0.012476824998884695,0.49104859335038364,0.4907625755951921
distilbert,20,80,73,validation,7.405429534999712,0.5182072829131653,0.4968138323042923
distilbert,20,80,73,test,7.405429534999712,0.48081841432225064,0.45981988793033357
tfidf,25,100,13,validation,0.012603583998497925,0.4789915966386555,0.46934241156721257
tfidf,25,100,13,test,0.012603583998497925,0.5268542199488491,0.5176641712195368
distilbert,25,100,13,validation,9.76416205699934,0.7563025210084033,0.742486454498239
distilbert,25,100,13,test,9.76416205699934,0.7237851662404092,0.7130257116845344
tfidf,25,100,42,validation,0.014442916999541922,0.5238095238095238,0.5171716418760334
tfidf,25,100,42,test,0.014442916999541922,0.49872122762148335,0.4946139470531174
distilbert,25,100,42,validation,9.674796634000813,0.7142857142857143,0.6869374863182912
distilbert,25,100,42,test,9.674796634000813,0.7161125319693095,0.6986254307104574
tfidf,25,100,73,validation,0.014170358999763266,0.5154061624649859,0.5120228550325151
tfidf,25,100,73,test,0.014170358999763266,0.5242966751918159,0.5203678642222553
distilbert,25,100,73,validation,9.637847719999627,0.6638655462184874,0.6310693040629293
distilbert,25,100,73,test,9.637847719999627,0.629156010230179,0.6144442799550104
tfidf,50,200,13,validation,0.3478942930014455,0.6078431372549019,0.6002796900145421
tfidf,50,200,13,test,0.3478942930014455,0.6214833759590793,0.6236535429254335
distilbert,50,200,13,validation,18.67956534000041,0.8487394957983193,0.8423197475352782
distilbert,50,200,13,test,18.67956534000041,0.8337595907928389,0.8313003521446517
tfidf,50,200,42,validation,0.6747749830010434,0.6106442577030813,0.6034332696399665
tfidf,50,200,42,test,0.6747749830010434,0.5933503836317136,0.5886008796041782
distilbert,50,200,42,validation,18.487590217000616,0.8571428571428571,0.8458246913897101
distilbert,50,200,42,test,18.487590217000616,0.8439897698209718,0.8410691308846793
tfidf,50,200,73,validation,1.08872496100048,0.6498599439775911,0.6427647785022041
tfidf,50,200,73,test,1.08872496100048,0.6342710997442456,0.6335872261901183
distilbert,50,200,73,validation,18.483434419998957,0.8515406162464986,0.8437275799296844
distilbert,50,200,73,test,18.483434419998957,0.8005115089514067,0.7940956272810031
tfidf,100,400,13,validation,1.4128765519999433,0.6918767507002801,0.6841379040496367
tfidf,100,400,13,test,1.4128765519999433,0.690537084398977,0.6908706463500984
distilbert,100,400,13,validation,37.93999166499998,0.8823529411764706,0.8755065382859091
distilbert,100,400,13,test,37.93999166499998,0.8491048593350383,0.846829735704979
tfidf,100,400,42,validation,0.7286243220005417,0.6946778711484594,0.6866996081506831
tfidf,100,400,42,test,0.7286243220005417,0.6624040920716112,0.6583358516103495
distilbert,100,400,42,validation,37.28862224600016,0.8991596638655462,0.8951385847985487
distilbert,100,400,42,test,37.28862224600016,0.8746803069053708,0.8701014986777742
tfidf,100,400,73,validation,0.7469663860010769,0.6890756302521008,0.684921777317886
tfidf,100,400,73,test,0.7469663860010769,0.710997442455243,0.7090319043401883
distilbert,100,400,73,validation,36.88916149800025,0.8907563025210085,0.886155945534201
distilbert,100,400,73,test,36.88916149800025,0.8516624040920716,0.8488625021586482
tfidf,200,800,13,validation,1.2280037999989872,0.7198879551820728,0.7150608282029497
tfidf,200,800,13,test,1.2280037999989872,0.7340153452685422,0.7362371130701945
distilbert,200,800,13,validation,75.54783702900022,0.8935574229691877,0.8900570306016456
distilbert,200,800,13,test,75.54783702900022,0.8721227621483376,0.8698297030665395
tfidf,200,800,42,validation,1.608801897999001,0.7366946778711485,0.727695236176979
tfidf,200,800,42,test,1.608801897999001,0.7237851662404092,0.7213656074080512
distilbert,200,800,42,validation,73.44074379700032,0.9103641456582633,0.9087228147555854
distilbert,200,800,42,test,73.44074379700032,0.8823529411764706,0.8812168265728638
tfidf,200,800,73,validation,1.4745592519993806,0.7226890756302521,0.7167999934403615
tfidf,200,800,73,test,1.4745592519993806,0.7442455242966752,0.7436773752563227
distilbert,200,800,73,validation,73.57390975900125,0.9131652661064426,0.9112910443595986
distilbert,200,800,73,test,73.57390975900125,0.8491048593350383,0.84895184420294
